City,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,middelburg,-25.7751,29.4648,75.11,34,67,11.72,ZA,1680362405
1,tuatapere,-46.1333,167.6833,53.38,96,57,10.18,NZ,1680362656
2,bethel,41.3712,-73.414,59.09,89,100,12.66,US,1680362566
3,saint-philippe,-21.3585,55.7679,80.19,86,57,9.91,RE,1680362657
4,codrington,-38.2667,141.9667,51.03,74,14,2.33,AU,1680362657
5,husavik,66.0449,-17.3389,36.72,97,99,2.35,IS,1680362658
6,bambous virieux,-20.3428,57.7575,80.85,74,20,6.91,MU,1680362658
7,port blair,11.6667,92.75,82.44,74,40,4.61,IN,1680362659
8,airai,-8.9266,125.4092,61.38,97,100,1.25,TL,1680362659
9,kommunisticheskiy,61.6789,64.4819,36.28,92,100,10.31,RU,1680362660
10,rikitea,-23.1203,-134.9692,79.5,81,42,14.85,PF,1680362660
11,albany,42.6001,-73.9662,56.89,93,100,10.02,US,1680362588
12,bluff,-46.6,168.3333,55.8,87,25,16.98,NZ,1680362661
13,zhanaozen,43.3,52.8,44.73,82,100,14.36,KZ,1680362662
14,atuona,-9.8,-139.0333,80.35,78,76,14.5,PF,1680362662
15,victoria,22.2855,114.1577,71.94,92,100,10.0,HK,1680362663
16,arraial do cabo,-22.9661,-42.0278,84.16,65,40,9.22,BR,1680362664
17,ushuaia,-54.8,-68.3,46.06,71,0,5.75,AR,1680362664
18,sobolevo,54.4299,31.8996,45.0,93,100,6.4,RU,1680362665
19,ancud,-41.8697,-73.8203,57.4,87,92,7.25,CL,1680362665
20,lavrentiya,65.5833,-171.0,25.52,97,100,3.31,RU,1680362665
21,faya,18.3851,42.4509,68.11,72,88,8.9,SA,1680362666
22,yellowknife,62.456,-114.3525,3.72,60,100,18.41,CA,1680362439
23,carnarvon,-24.8667,113.6333,76.77,73,91,13.4,AU,1680362667
24,phulji,26.8825,67.6807,85.73,26,0,16.82,PK,1680362667
25,mataura,-46.1927,168.8643,55.47,91,66,2.75,NZ,1680362667
26,prince albert,53.2001,-105.7677,13.95,85,75,9.22,CA,1680362668
27,adrian,41.8975,-84.0372,53.15,89,100,13.8,US,1680362668
28,jamestown,42.097,-79.2353,60.94,47,0,17.27,US,1680362669
29,upernavik,72.7868,-56.1549,-18.45,95,56,11.95,GL,1680362669
30,itsukaichi,35.7253,139.2178,54.9,87,75,0.0,JP,1680362669
31,manavalakurichi,8.1333,77.3,81.12,80,16,8.28,IN,1680362670
32,binga,-17.6203,27.3414,80.8,56,27,5.59,ZW,1680362670
33,barrow,71.2906,-156.7887,1.42,100,100,5.75,US,1680362670
34,nova venecia,-18.7106,-40.4006,92.03,40,0,4.79,BR,1680362671
35,qaanaaq,77.484,-69.3632,-9.36,71,6,4.68,GL,1680362671
36,goderich,43.7501,-81.7165,45.91,65,41,12.66,CA,1680362672
37,hobart,-42.8794,147.3294,53.46,79,99,11.5,AU,1680362530
38,taltal,-25.4,-70.4833,72.55,75,14,5.19,CL,1680362672
39,richards bay,-28.783,32.0377,75.65,78,61,5.17,ZA,1680362673
40,santa isabel,-23.3156,-46.2214,83.5,52,0,4.99,BR,1680362673
41,college,64.8569,-147.8028,10.72,73,100,4.61,US,1680362673
42,bathsheba,13.2167,-59.5167,83.01,69,75,18.41,BB,1680362674
43,saskylakh,71.9167,114.0833,11.95,90,100,17.34,RU,1680362674
44,kapaa,22.0752,-159.319,71.92,94,100,6.91,US,1680362674
45,cherskiy,68.75,161.3,-24.59,100,98,3.33,RU,1680362674
46,hermanus,-34.4187,19.2345,73.8,56,0,18.72,ZA,1680362675
47,souillac,-20.5167,57.5167,80.98,74,20,6.91,MU,1680362675
48,klaksvik,62.2266,-6.589,45.52,86,100,23.73,FO,1680362675
49,atar,20.5169,-13.0499,98.92,4,0,19.33,MR,1680362676
50,zhigansk,66.7697,123.3711,-10.68,100,96,6.98,RU,1680362677
51,zabaykalsk,49.6333,117.3167,34.83,45,66,10.89,RU,1680362678
52,dondukovskaya,44.8819,40.3627,51.37,61,7,3.76,RU,1680362679
53,komsomolskiy,40.4272,71.7189,65.12,39,88,4.61,UZ,1680362679
54,nikolskoye,59.7035,30.7861,33.8,97,100,7.56,RU,1680362679
55,vila do maio,15.1333,-23.2167,95.79,75,0,11.32,CV,1680362680
56,coquimbo,-29.9533,-71.3436,62.33,94,100,3.44,CL,1680362473
57,verkhnevilyuysk,63.4453,120.3167,-14.62,100,19,4.27,RU,1680362680
58,iqaluit,63.7506,-68.5145,10.13,79,100,9.22,CA,1680362681
59,charters towers,-20.1,146.2667,74.25,69,32,1.9,AU,1680362681
60,bilma,18.6853,12.9164,88.95,4,78,7.31,NE,1680362681
61,suntar,62.1444,117.6319,-7.2,100,94,2.93,RU,1680362682
62,sola,-13.8833,167.55,82.58,74,42,8.16,VU,1680362682
63,ayagoz,47.9714,80.4392,17.94,62,0,20.04,KZ,1680362683
64,srednekolymsk,67.45,153.6833,-18.94,100,100,3.13,RU,1680362683
65,bredasdorp,-34.5322,20.0403,70.39,61,0,13.2,ZA,1680362683
66,deep river,46.1001,-77.4995,33.94,97,100,4.47,CA,1680362684
67,nelson bay,-32.7167,152.15,62.11,95,36,5.99,AU,1680362684
